label,content
positive,"Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia ."
neutral,"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies ."
neutral,"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said ."
positive,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 ."
neutral,Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .
neutral,"So far as is known , he did not sell shares that he owns personally ."
neutral,RSA 's shares closed at 156.9 p at the time of going to press .
neutral,"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland ."
neutral,"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products ."
neutral,You 're not alone .
neutral,"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid ."
positive,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 ."
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % ."
neutral,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 ."
neutral,He will report to CapMan Plc 's CEO Heikki Westerlund .
negative,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ."
positive,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln ."
neutral,"The market value of one crane is some USD6m , reported the Finnish news agency STT ."
negative,"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 ."
positive,"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators ."
neutral,Operating loss landed at EUR39m including one-offs and at EUR27m excluding one-offs .
positive,"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''"
positive,"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker ."
neutral,"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden ."
neutral,"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options ."
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .
neutral,Aktia forecasts Finland 's inflation at 1.1 % in 2010 .
positive,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 ."
neutral,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation
neutral,"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 ."
negative,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
neutral,The project also implies an underground parking lot for 56 vehicles .
positive,7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .
neutral,"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move ."
neutral,"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data ."
neutral,"The platform is based built on Intel s second-generation MID platform , called Moorestown ."
positive,Growth is expected to continue in 2008 .
neutral,"The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services ."
positive,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million ."
positive,Talvivaara also maintains its assumption of turning cash flow positive before the year end .
neutral,KONE is listed on the Nordic Exchange in Helsinki .
positive,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations ."
neutral,"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good ."
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 ."
neutral,The plant is expected to start production in the first half of 2007 .
negative,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million ."
neutral,Almost two thirds of Olvi 's net sales come from outside Finland .
negative,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday ."
neutral,The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .
neutral,"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia ."
positive,Orders received grew by 55 % year-on-year to EUR732m .
neutral,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries ."
neutral,It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola .
neutral,The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum .
neutral,The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .
neutral,Financing of the project will come mainly from China .
neutral,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .
neutral,The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 ."
positive,Estonia 's beer market overall grew three percent last year to 130 million liters .
neutral,"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services ."
positive,Sales increased due to growing market rates and increased operations .
positive,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time ."
neutral,"The program included operational improvements and reductions in personnel , mainly in the Netherlands ."
positive,"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE ."
neutral,Rihko said the sale will enable the company to concentrate on its grain-based business .
neutral,Elisa will expand the use of this technology provided the pilot proves successful .
neutral,"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers ."
neutral,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ."
neutral,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''"
positive,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday ."
neutral,"`` My wife is looking forward to getting a paycheck again , '' he quipped recently as a six-knot current swirled around his anchored and heavily sponsored jet sled ."
neutral,The value of the deal was not disclosed .
neutral,"Operating profit for the 12-month period decreased from EUR9 .6 m while net sales increased from EUR69 .0 m , as compared to 2005 ."
neutral,"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction ."
neutral,"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said ."
neutral,`` Our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .
positive,"`` Following last year 's good profit development , we have entered the current year in a good position ."
neutral,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .
positive,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .
neutral,"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently ."
positive,"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry ."
neutral,Saunalahti is a part of the Elisa group .
positive,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn ."
positive,The aim is to achieve EUR 2.5 mn yearly savings .
neutral,The previous offer was 3.4 % of voting rights and 12.3 % of capital .
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 ."
negative,And U.S. energy executives say high steel prices are threatening energy exploration .
positive,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation ."
neutral,"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories ."
neutral,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen ."
neutral,The value of the contract is EUR 25mn .
neutral,The use case dramatically narrows if you go only with the hot s Ltd.
positive,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 ."
neutral,"Secure your files online Like filling out a tax return , making a backup is boring ."
positive,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development ."
negative,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .
neutral,The Court 's decision will also promote genuine competition in services
positive,"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said ."
neutral,"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people ."
positive,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service ."
positive,"According to M-real 's CEO , Mikko Helander , this transaction will enable the company to proceed swiftly with its restructuring program ."
positive,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .
positive,"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland ."
neutral,J+?rvi-Suomen Portti is also planning to reduce the use of sodium nitrite .
negative,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .
negative,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions ."
negative,"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland ."
negative,"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier ."
neutral,The company 's main shareholders Lihakunta and Itikka Osuuskunta have both made a commitment to acquire shares worth EUR 20mn .
neutral,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .
positive,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .
positive,"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services ."
neutral,Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .
neutral,"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October ."
neutral,"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company ."
neutral,"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International ."
neutral,"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said ."
neutral,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi ."
neutral,"Karachi , Sept. 14 -- Ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the Intel Atom processor Z6xx based smartphones ."
negative,"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said ."
positive,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 ."
neutral,`` Our aim is to understand different traffic patterns based on the use of each building .
neutral,The full MidnightTrader extended-hours trading analysis and news service is available in real-time through COMTEX .
neutral,No financial or pricing details were disclosed .
neutral,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .
neutral,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment ."
neutral,"In 2007 , almost two thirds of Orion 's net sales came from these drugs ."
neutral,"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) ."
neutral,cents Recognize potential partnerships and suppliers .
neutral,"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires ."
neutral,The contract value amounts to EUR 2.4 million .
neutral,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .
positive,"The developers of that project predict that once it is completed in April 2009 , Skanssi will attract some 4.5 million visitors annually ."
neutral,"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology ."
neutral,"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp ."
positive,The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .
neutral,What would you like to see changed on Nokia 's next attempt ?
neutral,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said ."
neutral,"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares ."
neutral,Bluewin Security is available as a monthly subscription .
neutral,Profit of the accounting period was EUR 0.3 mn .
positive,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel ."
negative,"On the other hand , Finnish sawmills ' production has decreased even more ."
neutral,The size of a cider bottle will remain unchanged .
neutral,"The firm 's UK head office is in Rugby Road , Lutterworth ."
neutral,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit ."
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days ."
negative,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 ."
positive,Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .
neutral,"The closing of the transaction is scheduled to take place on January 10 , 2008 ."
negative,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .
neutral,"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device ."
negative,"Cash flow after investments amounted to EUR45m , down from EUR46m ."
neutral,"Cargotec 's share capital after the increase totals EUR 64,299,180 ."
positive,"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 ."
neutral,Philips was not available to comment on the report .
neutral,"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province ."
positive,Operating profit improved by 16.7 % to EUR 7.7 mn .
neutral,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .
neutral,"It includes the company 's new , highly powerful , compact and scalable Flexi Multiradio 10 Base Station ."
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 ."
neutral,"Mr. Mika Korpinen , APAC Vice President for Comptel concludes : `` Comptel is once again demonstrating the importance of providing reliable delivery and enabling time-to-market ."
positive,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten ."
neutral,"The sale will be finalized in September or October , the company said ."
neutral,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities ."
neutral,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .
positive,"Upon completion , Keskuskatu will form the backbone of Helsinki 's pedestrianised downtown area , linking up with the city 's other main pedestrian precincts ."
neutral,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .
positive,"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength ."
neutral,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .
positive,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo ."
neutral,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection ."
neutral,The products have a low salt and fat content .
neutral,He confirmed his view on July 6 .
negative,"The pulp production in Finnish Kemij+?rvi will also be liquidated and about 1,100 employees loose their jobs ."
neutral,The new shares will provide the shareholders with full shareholder rights .
positive,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks ."
positive,"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies ."
neutral,- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .
neutral,"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 ."
negative,"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % ."
neutral,Delivery is due in the second half of 2011 .
neutral,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze ."
neutral,W+?rtsil+? 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .
positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
neutral,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation ."
neutral,"Following the registration , the share capital of Biotie is EUR 52,556,678.10 ."
neutral,"The latest date for registration is on 4 April , 2006 ."
negative,The situation of coated magazine printing paper will continue to be weak .
neutral,"When dialing in , the participants should quote 877417 as conference ID ."
neutral,The value of the confirmed aircraft orders totals EUR 2bn .
negative,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % ."
positive,"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 ."
neutral,The value of the contract is about EUR 27mn .
neutral,"She will succeed Krister Kylas , who has decided to leave TeliaSonera ."
neutral,The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .
neutral,"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India ."
negative,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers ."
neutral,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .
negative,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m ."
neutral,"The estimated turnover of the new company is LVL 2,5 million EEK 40 million ."
positive,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago ."
negative,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries ."
negative,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier ."
neutral,The proposed consolidation activities will impact approximately 30 positions .
positive,Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .
neutral,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .
neutral,"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 ."
negative,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations ."
neutral,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .
neutral,"The Bank of +_land acquired the private banking business , asset management , and share brokerage business of Kaupthing Sweden in early 2009 ."
positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."
neutral,Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .
neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 ."
neutral,"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term ."
neutral,"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision ."
neutral,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees ."
negative,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency ."
positive,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
negative,"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. ."
neutral,The site will cover over six hectares .
negative,"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 ."
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
neutral,Finnish publishing and printing group Ilkka-Yhtym+? will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .
neutral,"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million ."
positive,It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel .
negative,"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 ."
neutral,A few employees would remain at the Oulu plant in support functions for other group units .
neutral,"Our solutions are industry-independent supporting multilingual and currency needs , modular and applicable to companies of all sizes , '' CEO Ilkka Sihvo said ."
neutral,"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems ."
neutral,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said ."
positive,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ."
negative,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .
neutral,"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore ."
neutral,"On 20 March 2006 , Stora Enso refused to comment the news in any way ."
positive,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .
neutral,"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis ."
positive,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year ."
negative,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .
positive,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan ."
neutral,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .
neutral,"On preliminary estimate , the hotel will operate under the brand Novotel ."
neutral,The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .
neutral,"Steve Jackson , eBusiness Analyst at Satama and former CEO of Aboavista said : `` Google broke the mold when they gave away Google Analytics for free ."
neutral,Nordea Bank has a large share and vast experience in the Nordic credit card market .
neutral,The value of this kind of order amounts usually between Euro 2 and 3 million .
negative,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ."
positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months ."
negative,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .
neutral,"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit ."
neutral,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th ."
neutral,Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
neutral,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced ."
negative,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors ."
neutral,The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .
positive,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations ."
neutral,"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki ."
neutral,"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A ."
negative,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .
neutral,"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module ."
neutral,The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .
positive,"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex ."
neutral,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam ."
positive,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 ."
neutral,"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital ."
positive,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers ."
positive,Cash flow from operating activities is estimated to be positive .
